x_mm,z_mm,temperature_c
-16.971,14.4266,39.5298
-16.9754,-14.9805,38.0102
-43.3418,  -185.436E-03,26.2021
   153.078E-03,-43.2755,26.0658
  -388.999E-03,43.1818,26.0685
43.3545,   154.604E-03,26.0243
14.6861,-5.16452,35.4165
14.8427,5.89769,34.6312
-15.8042,-18.8948,32.8899
-16.6843,16.863,35.1341
42.8471,-14.1201,26.0174
-42.551,-15.6679,26.1202
15.5375,-43.3499,26.0265
43.3599,15.5244,26.0143
-15.759,43.0154,26.0565
-43.0298,14.5228,26.1217
15.7769,43.0952,26.0269
-14.0783,-42.8501,26.0625
   629.980E-03,18.085,38.6411
43.0733,16.7065,26.014
18.0636,43.0766,26.0219
-42.6457,18.2572,26.0952
-41.5221,-17.508,26.1232
42.1199,-17.4012,26.0161
16.7262,-43.0729,26.0251
-17.3392,-42.076,26.0616
-17.1873,42.0581,26.0621
15.2661,-1.99989,35.4722
42.9335,-35.1255,26.0024
-34.9196,42.3319,26.0119
-43.6741,35.0386,26.0118
42.3329,34.8675,26.0028
-42.1916,-34.9582,26.0141
35.0046,-42.1159,26.0032
-35.0872,-42.738,26.0108
34.1373,43.1892,26.0032
6.14764,16.6302,36.1893
-20.1275,10.7619,40.0358
-42.5941,39.4506,26.0072
-41.47,-39.9606,26.0075
39.9795,-41.4281,26.0017
41.8962,39.6882,26.0016
-39.8246,41.9503,26.007
39.1503,42.2784,26.0018
-11.7497,21.1812,32.1442
-10.5409,-22.0406,31.5224
1.7571,42.7321,26.0699
42.7323,-1.72576,26.027
-42.9243,1.86307,26.216
-1.73443,-42.6335,26.0767
5.45783,-15.7033,39.2216
   853.961E-03,-15.9339,46.3084
-19.3313,15.0935,34.4844
-19.5273,-15.6677,33.475
-43.2105,-2.14774,26.203
2.11723,-43.4038,26.0608
-2.33457,43.1645,26.0702
43.4542,2.10956,26.0236
  -154.709E-03,-20.9214,33.2232
10.5017,-11.9505,37.1553
-22.1028,11.3305,34.9856
-40.0335,-4.60861,26.3644
4.0104,-40.4077,26.1008
40.446,3.92303,26.0413
   971.736E-03,40.6044,26.1083
40.3185,  -553.543E-03,26.0435
-40.8895,1.1197,26.3224
  -547.818E-03,-40.1345,26.1221
-21.8448,13.3492,33.2408
12.4454,-12.274,33.6298
15.5962,-7.35194,32.6013
