x_mm,z_mm,temperature_c
-32.051,-8.974,57.14
-29.487,-8.974,57.86
-26.923,-8.974,58.58
-24.359,-8.974,59.3
-21.795,-8.974,60.02
-19.231,-8.974,60.74
-16.667,-8.974,61.46
-14.103,-8.974,62.18
-11.538,-8.974,62.9
-8.974,-8.974,63.62
-6.41,-8.974,64.34
-3.846,-8.974,65.06
-1.282,-8.974,65.78
1.282,-8.974,65.78
3.846,-8.974,65.06
6.41,-8.974,64.34
8.974,-8.974,63.62
11.538,-8.974,62.9
14.103,-8.974,62.18
16.667,-8.974,61.46
19.231,-8.974,60.74
21.795,-8.974,60.02
24.359,-8.974,59.3
26.923,-8.974,58.58
29.487,-8.974,57.86
32.051,-8.974,57.14
34.615,-8.974,56.42
37.179,-8.974,55.7
39.744,-8.974,54.98
42.308,-8.974,53.73
44.872,-8.974,50.01
47.436,-8.974,44.77
50,-8.974,39.23
-50,-6.41,42.88
-47.436,-6.41,49.94
-44.872,-6.41,56.63
-42.308,-6.41,61.37
-39.744,-6.41,62.97
-37.179,-6.41,63.88
-34.615,-6.41,64.8
-32.051,-6.41,65.72
-29.487,-6.41,66.64
-26.923,-6.41,67.56
-24.359,-6.41,68.48
-21.795,-6.41,69.4
-19.231,-6.41,70.32
-16.667,-6.41,71.24
-14.103,-6.41,72.16
-11.538,-6.41,73.08
-8.974,-6.41,74
-6.41,-6.41,74.92
-3.846,-6.41,75.83
-1.282,-6.41,76.75
1.282,-6.41,76.75
3.846,-6.41,75.83
6.41,-6.41,74.92
8.974,-6.41,74
11.538,-6.41,73.08
14.103,-6.41,72.16
16.667,-6.41,71.24
19.231,-6.41,70.32
21.795,-6.41,69.4
24.359,-6.41,68.48
26.923,-6.41,67.56
29.487,-6.41,66.64
32.051,-6.41,65.72
34.615,-6.41,64.8
37.179,-6.41,63.88
39.744,-6.41,62.97
42.308,-6.41,61.37
44.872,-6.41,56.63
47.436,-6.41,49.94
50,-6.41,42.88
-50,-3.846,45.86
-47.436,-3.846,54.16
-44.872,-3.846,62.03
-42.308,-3.846,67.61
-39.744,-3.846,69.48
-37.179,-3.846,70.56
-34.615,-3.846,71.64
-32.051,-3.846,72.72
-29.487,-3.846,73.81
-26.923,-3.846,74.89
-24.359,-3.846,75.97
-21.795,-3.846,77.05
-19.231,-3.846,78.13
-16.667,-3.846,79.21
-14.103,-3.846,80.29
-11.538,-3.846,81.37
-8.974,-3.846,82.46
-6.41,-3.846,83.54
-3.846,-3.846,84.62
-1.282,-3.846,85.7
1.282,-3.846,85.7
3.846,-3.846,84.62
6.41,-3.846,83.54
8.974,-3.846,82.46
11.538,-3.846,81.37
14.103,-3.846,80.29
16.667,-3.846,79.21
19.231,-3.846,78.13
21.795,-3.846,77.05
24.359,-3.846,75.97
26.923,-3.846,74.89
29.487,-3.846,73.81
32.051,-3.846,72.72
34.615,-3.846,71.64
37.179,-3.846,70.56
39.744,-3.846,69.48
42.308,-3.846,67.61
44.872,-3.846,62.03
47.436,-3.846,54.16
50,-3.846,45.86
-50,-1.282,47.54
-47.436,-1.282,56.54
-44.872,-1.282,65.08
-42.308,-1.282,71.12
-39.744,-1.282,73.16
-37.179,-1.282,74.33
-34.615,-1.282,75.5
-32.051,-1.282,76.68
-29.487,-1.282,77.85
-26.923,-1.282,79.02
-24.359,-1.282,80.19
-21.795,-1.282,81.37
-19.231,-1.282,82.54
-16.667,-1.282,83.71
-14.103,-1.282,84.88
-11.538,-1.282,86.06
-8.974,-1.282,87.23
-6.41,-1.282,88.4
-3.846,-1.282,89.57
-1.282,-1.282,90.75
1.282,-1.282,90.75
3.846,-1.282,89.57
6.41,-1.282,88.4
8.974,-1.282,87.23
11.538,-1.282,86.06
14.103,-1.282,84.88
16.667,-1.282,83.71
19.231,-1.282,82.54
21.795,-1.282,81.37
24.359,-1.282,80.19
26.923,-1.282,79.02
29.487,-1.282,77.85
32.051,-1.282,76.68
34.615,-1.282,75.5
37.179,-1.282,74.33
39.744,-1.282,73.16
42.308,-1.282,71.12
44.872,-1.282,65.08
47.436,-1.282,56.54
50,-1.282,47.54
-50,1.282,47.54
-47.436,1.282,56.54
-44.872,1.282,65.08
-42.308,1.282,71.12
-39.744,1.282,73.16
-37.179,1.282,74.33
-34.615,1.282,75.5
-32.051,1.282,76.68
-29.487,1.282,77.85
-26.923,1.282,79.02
-24.359,1.282,80.19
-21.795,1.282,81.37
-19.231,1.282,82.54
-16.667,1.282,83.71
-14.103,1.282,84.88
-11.538,1.282,86.06
-8.974,1.282,87.23
-6.41,1.282,88.4
-3.846,1.282,89.57
-1.282,1.282,90.75
1.282,1.282,90.75
3.846,1.282,89.57
6.41,1.282,88.4
8.974,1.282,87.23
11.538,1.282,86.06
14.103,1.282,84.88
16.667,1.282,83.71
19.231,1.282,82.54
21.795,1.282,81.37
24.359,1.282,80.19
26.923,1.282,79.02
29.487,1.282,77.85
32.051,1.282,76.68
34.615,1.282,75.5
37.179,1.282,74.33
39.744,1.282,73.16
42.308,1.282,71.12
44.872,1.282,65.08
47.436,1.282,56.54
50,1.282,47.54
-50,3.846,45.86
-47.436,3.846,54.16
-44.872,3.846,62.03
-42.308,3.846,67.61
-39.744,3.846,69.48
-37.179,3.846,70.56
-34.615,3.846,71.64
-32.051,3.846,72.72
-29.487,3.846,73.81
-26.923,3.846,74.89
-24.359,3.846,75.97
-21.795,3.846,77.05
-19.231,3.846,78.13
-16.667,3.846,79.21
-14.103,3.846,80.29
-11.538,3.846,81.37
-8.974,3.846,82.46
-6.41,3.846,83.54
-3.846,3.846,84.62
-1.282,3.846,85.7
1.282,3.846,85.7
3.846,3.846,84.62
6.41,3.846,83.54
8.974,3.846,82.46
11.538,3.846,81.37
14.103,3.846,80.29
16.667,3.846,79.21
19.231,3.846,78.13
21.795,3.846,77.05
24.359,3.846,75.97
26.923,3.846,74.89
29.487,3.846,73.81
32.051,3.846,72.72
34.615,3.846,71.64
37.179,3.846,70.56
39.744,3.846,69.48
42.308,3.846,67.61
44.872,3.846,62.03
47.436,3.846,54.16
50,3.846,45.86
-50,6.41,42.88
-47.436,6.41,49.94
-44.872,6.41,56.63
-42.308,6.41,61.37
-39.744,6.41,62.97
-37.179,6.41,63.88
-34.615,6.41,64.8
-32.051,6.41,65.72
-29.487,6.41,66.64
-26.923,6.41,67.56
-24.359,6.41,68.48
-21.795,6.41,69.4
-19.231,6.41,70.32
-16.667,6.41,71.24
-14.103,6.41,72.16
-11.538,6.41,73.08
-8.974,6.41,74
-6.41,6.41,74.92
-3.846,6.41,75.83
-1.282,6.41,76.75
1.282,6.41,76.75
3.846,6.41,75.83
6.41,6.41,74.92
8.974,6.41,74
11.538,6.41,73.08
14.103,6.41,72.16
16.667,6.41,71.24
19.231,6.41,70.32
21.795,6.41,69.4
24.359,6.41,68.48
26.923,6.41,67.56
29.487,6.41,66.64
32.051,6.41,65.72
34.615,6.41,64.8
37.179,6.41,63.88
39.744,6.41,62.97
42.308,6.41,61.37
44.872,6.41,56.63
47.436,6.41,49.94
50,6.41,42.88
-50,8.974,39.23
-47.436,8.974,44.77
-44.872,8.974,50.01
-42.308,8.974,53.73
-39.744,8.974,54.98
-37.179,8.974,55.7
-34.615,8.974,56.42
-32.051,8.974,57.14
-29.487,8.974,57.86
-26.923,8.974,58.58
-24.359,8.974,59.3
-21.795,8.974,60.02
-19.231,8.974,60.74
-16.667,8.974,61.46
-14.103,8.974,62.18
-11.538,8.974,62.9
-8.974,8.974,63.62
-6.41,8.974,64.34
-3.846,8.974,65.06
-1.282,8.974,65.78
1.282,8.974,65.78
3.846,8.974,65.06
6.41,8.974,64.34
8.974,8.974,63.62
11.538,8.974,62.9
14.103,8.974,62.18
16.667,8.974,61.46
19.231,8.974,60.74
21.795,8.974,60.02
24.359,8.974,59.3
26.923,8.974,58.58
29.487,8.974,57.86
32.051,8.974,57.14
34.615,8.974,56.42
37.179,8.974,55.7
39.744,8.974,54.98
42.308,8.974,53.73
44.872,8.974,50.01
47.436,8.974,44.77
50,8.974,39.23
-50,11.538,35.56
-47.436,11.538,39.56
-44.872,11.538,43.36
-42.308,11.538,46.04
-39.744,11.538,46.94
-37.179,11.538,47.46
-34.615,11.538,47.98
-32.051,11.538,48.51
-29.487,11.538,49.03
-26.923,11.538,49.55
-24.359,11.538,50.07
-21.795,11.538,50.59
-19.231,11.538,51.11
-16.667,11.538,51.63
-14.103,11.538,52.15
-11.538,11.538,52.67
-8.974,11.538,53.19
-6.41,11.538,53.71
-3.846,11.538,54.23
-1.282,11.538,54.76
1.282,11.538,54.76
3.846,11.538,54.23
6.41,11.538,53.71
8.974,11.538,53.19
11.538,11.538,52.67
14.103,11.538,52.15
16.667,11.538,51.63
19.231,11.538,51.11
21.795,11.538,50.59
24.359,11.538,50.07
26.923,11.538,49.55
29.487,11.538,49.03
32.051,11.538,48.51
34.615,11.538,47.98
37.179,11.538,47.46
39.744,11.538,46.94
42.308,11.538,46.04
44.872,11.538,43.36
47.436,11.538,39.56
50,11.538,35.56
-50,14.103,32.37
-47.436,14.103,35.04
-44.872,14.103,37.57
-42.308,14.103,39.35
-39.744,14.103,39.96
-37.179,14.103,40.3
-34.615,14.103,40.65
-32.051,14.103,41
-29.487,14.103,41.35
-26.923,14.103,41.69
-24.359,14.103,42.04
-21.795,14.103,42.39
-19.231,14.103,42.73
-16.667,14.103,43.08
-14.103,14.103,43.43
-11.538,14.103,43.77
-8.974,14.103,44.12
-6.41,14.103,44.47
-3.846,14.103,44.82
-1.282,14.103,45.16
1.282,14.103,45.16
3.846,14.103,44.82
6.41,14.103,44.47
8.974,14.103,44.12
11.538,14.103,43.77
14.103,14.103,43.43
16.667,14.103,43.08
19.231,14.103,42.73
21.795,14.103,42.39
24.359,14.103,42.04
26.923,14.103,41.69
29.487,14.103,41.35
32.051,14.103,41
34.615,14.103,40.65
37.179,14.103,40.3
39.744,14.103,39.96
42.308,14.103,39.35
44.872,14.103,37.57
47.436,14.103,35.04
50,14.103,32.37
-50,16.667,29.92
-47.436,16.667,31.55
-44.872,16.667,33.11
-42.308,16.667,34.21
-39.744,16.667,34.58
-37.179,16.667,34.79
-34.615,16.667,35
-32.051,16.667,35.22
-29.487,16.667,35.43
-26.923,16.667,35.64
-24.359,16.667,35.86
-21.795,16.667,36.07
-19.231,16.667,36.28
-16.667,16.667,36.5
-14.103,16.667,36.71
-11.538,16.667,36.92
-8.974,16.667,37.14
-6.41,16.667,37.35
-3.846,16.667,37.56
-1.282,16.667,37.77
1.282,16.667,37.77
3.846,16.667,37.56
6.41,16.667,37.35
8.974,16.667,37.14
11.538,16.667,36.92
14.103,16.667,36.71
16.667,16.667,36.5
19.231,16.667,36.28
21.795,16.667,36.07
24.359,16.667,35.86
26.923,16.667,35.64
29.487,16.667,35.43
32.051,16.667,35.22
34.615,16.667,35
37.179,16.667,34.79
39.744,16.667,34.58
42.308,16.667,34.21
44.872,16.667,33.11
47.436,16.667,31.55
50,16.667,29.92
-50,19.231,28.22
-47.436,19.231,29.15
-44.872,19.231,30.03
-42.308,19.231,30.65
-39.744,19.231,30.86
-37.179,19.231,30.98
-34.615,19.231,31.1
-32.051,19.231,31.22
-29.487,19.231,31.34
-26.923,19.231,31.46
-24.359,19.231,31.58
-21.795,19.231,31.7
-19.231,19.231,31.83
-16.667,19.231,31.95
-14.103,19.231,32.07
-11.538,19.231,32.19
-8.974,19.231,32.31
-6.41,19.231,32.43
-3.846,19.231,32.55
