sample_index,acc_ch1,acc_ch2,acc_ch3
203,-0.209434,-0.239354,-0.239354
204,-0.209434,-0.239354,-0.239354
205,-0.209434,-0.239354,-0.239354
206,-0.209434,-0.239354,-0.239354
207,-0.209434,-0.269273,-0.269273
208,-0.239354,-0.269273,-0.269273
209,-0.239354,-0.269273,-0.269273
210,-0.209434,-0.269273,-0.269273
211,-0.209434,-0.269273,-0.239354
212,-0.179515,-0.239354,-0.239354
213,-0.179515,-0.239354,-0.209434
214,-0.179515,-0.239354,-0.209434
215,-0.179515,-0.239354,-0.209434
216,-0.179515,-0.239354,-0.239354
217,-0.179515,-0.239354,-0.209434
218,-0.179515,-0.239354,-0.209434
219,-0.179515,-0.239354,-0.239354
220,-0.179515,-0.239354,-0.239354
221,-0.179515,-0.239354,-0.239354
222,-0.179515,-0.239354,-0.239354
223,-0.179515,-0.209434,-0.209434
224,-0.149596,-0.209434,-0.179515
225,-0.149596,-0.209434,-0.209434
226,-0.179515,-0.209434,-0.209434
227,-0.179515,-0.239354,-0.239354
228,-0.209434,-0.239354,-0.239354
229,-0.209434,-0.239354,-0.239354
230,-0.209434,-0.239354,-0.239354
231,-0.209434,-0.269273,-0.239354
232,-0.209434,-0.269273,-0.239354
233,-0.209434,-0.269273,-0.239354
234,-0.209434,-0.239354,-0.239354
235,-0.209434,-0.239354,-0.239354
236,-0.209434,-0.239354,-0.239354
237,-0.179515,-0.239354,-0.239354
238,-0.209434,-0.239354,-0.239354
239,-0.209434,-0.269273,-0.239354
240,-0.239354,-0.269273,-0.269273
241,-0.239354,-0.269273,-0.269273
242,-0.209434,-0.269273,-0.269273
243,-0.209434,-0.269273,-0.239354
244,-0.179515,-0.239354,-0.239354
245,-0.179515,-0.239354,-0.239354
246,-0.179515,-0.239354,-0.209434
247,-0.179515,-0.239354,-0.209434
248,-0.179515,-0.239354,-0.239354
249,-0.179515,-0.239354,-0.209434
250,-0.179515,-0.239354,-0.239354
251,-0.179515,-0.239354,-0.209434
252,-0.179515,-0.239354,-0.239354
253,-0.179515,-0.239354,-0.239354
254,-0.179515,-0.239354,-0.239354
255,-0.179515,-0.209434,-0.209434
256,-0.149596,-0.209434,-0.179515
257,-0.149596,-0.209434,-0.209434
258,-0.179515,-0.209434,-0.209434
259,-0.179515,-0.239354,-0.239354
260,-0.209434,-0.239354,-0.239354
261,-0.209434,-0.239354,-0.239354
262,-0.209434,-0.239354,-0.269273
263,-0.209434,-0.239354,-0.239354
264,-0.209434,-0.239354,-0.239354
265,-0.209434,-0.269273,-0.239354
266,-0.209434,-0.269273,-0.239354
267,-0.209434,-0.239354,-0.239354
268,-0.179515,-0.239354,-0.239354
269,-0.179515,-0.239354,-0.239354
270,-0.209434,-0.239354,-0.239354
271,-0.209434,-0.269273,-0.269273
272,-0.239354,-0.269273,-0.269273
273,-0.239354,-0.269273,-0.269273
274,-0.209434,-0.269273,-0.269273
275,-0.209434,-0.239354,-0.239354
276,-0.179515,-0.239354,-0.239354
277,-0.179515,-0.239354,-0.209434
278,-0.179515,-0.209434,-0.209434
279,-0.179515,-0.239354,-0.209434
280,-0.179515,-0.239354,-0.239354
281,-0.179515,-0.209434,-0.209434
282,-0.179515,-0.239354,-0.209434
283,-0.179515,-0.239354,-0.239354
284,-0.179515,-0.239354,-0.239354
285,-0.179515,-0.239354,-0.239354
286,-0.179515,-0.239354,-0.239354
287,-0.179515,-0.209434,-0.209434
288,-0.149596,-0.179515,-0.179515
289,-0.149596,-0.209434,-0.209434
290,-0.179515,-0.209434,-0.209434
291,-0.179515,-0.239354,-0.239354
292,-0.209434,-0.239354,-0.239354
293,-0.209434,-0.239354,-0.239354
294,-0.209434,-0.239354,-0.269273
295,-0.209434,-0.239354,-0.239354
296,-0.209434,-0.269273,-0.239354
297,-0.209434,-0.269273,-0.269273
298,-0.209434,-0.239354,-0.239354
299,-0.209434,-0.239354,-0.239354
300,-0.209434,-0.239354,-0.239354
301,-0.209434,-0.239354,-0.239354
302,-0.209434,-0.239354,-0.239354
303,-0.209434,-0.269273,-0.269273
304,-0.239354,-0.299192,-0.269273
305,-0.239354,-0.269273,-0.269273
306,-0.209434,-0.269273,-0.269273
307,-0.209434,-0.269273,-0.239354
308,-0.179515,-0.239354,-0.239354
309,-0.179515,-0.239354,-0.209434
310,-0.179515,-0.239354,-0.209434
311,-0.179515,-0.239354,-0.209434
312,-0.179515,-0.239354,-0.209434
313,-0.179515,-0.239354,-0.209434
314,-0.179515,-0.239354,-0.239354
315,-0.179515,-0.239354,-0.239354
316,-0.179515,-0.239354,-0.239354
317,-0.179515,-0.239354,-0.239354
