sample_index,acc_ch1,acc_ch2,acc_ch3
190,-0.209434,-0.239354,-0.239354
191,-0.209434,-0.239354,-0.239354
192,-0.209434,-0.239354,-0.239354
193,-0.239354,-0.269273,-0.269273
194,-0.239354,-0.299192,-0.269273
195,-0.239354,-0.269273,-0.269273
196,-0.209434,-0.269273,-0.269273
197,-0.209434,-0.239354,-0.239354
198,-0.179515,-0.239354,-0.209434
199,-0.179515,-0.239354,-0.209434
200,-0.179515,-0.239354,-0.209434
201,-0.179515,-0.239354,-0.209434
202,-0.179515,-0.209434,-0.209434
203,-0.179515,-0.239354,-0.209434
204,-0.179515,-0.239354,-0.209434
205,-0.179515,-0.239354,-0.239354
206,-0.179515,-0.239354,-0.239354
207,-0.179515,-0.239354,-0.239354
208,-0.209434,-0.239354,-0.239354
209,-0.179515,-0.209434,-0.209434
210,-0.149596,-0.209434,-0.179515
211,-0.149596,-0.209434,-0.209434
212,-0.179515,-0.209434,-0.209434
213,-0.179515,-0.239354,-0.239354
