sample_index,acc_ch1,acc_ch2,acc_ch3
364,-0.179515,-0.209434,-0.209434
365,-0.179515,-0.209434,-0.209434
366,-0.179515,-0.209434,-0.209434
367,-0.179515,-0.209434,-0.209434
368,-0.179515,-0.239354,-0.209434
369,-0.179515,-0.239354,-0.239354
370,-0.179515,-0.239354,-0.239354
371,-0.179515,-0.239354,-0.239354
372,-0.179515,-0.209434,-0.209434
373,-0.149596,-0.179515,-0.179515
374,-0.149596,-0.179515,-0.179515
375,-0.149596,-0.209434,-0.209434
376,-0.179515,-0.209434,-0.209434
377,-0.209434,-0.239354,-0.239354
378,-0.209434,-0.269273,-0.239354
379,-0.209434,-0.269273,-0.239354
380,-0.209434,-0.269273,-0.269273
381,-0.209434,-0.269273,-0.269273
382,-0.209434,-0.269273,-0.239354
383,-0.209434,-0.269273,-0.269273
384,-0.209434,-0.239354,-0.239354
385,-0.209434,-0.239354,-0.239354
386,-0.209434,-0.239354,-0.239354
387,-0.209434,-0.239354,-0.239354
388,-0.209434,-0.269273,-0.239354
389,-0.239354,-0.299192,-0.299192
390,-0.239354,-0.299192,-0.299192
391,-0.239354,-0.269273,-0.269273
392,-0.209434,-0.269273,-0.269273
393,-0.209434,-0.239354,-0.239354
394,-0.179515,-0.239354,-0.209434
395,-0.179515,-0.239354,-0.209434
396,-0.179515,-0.209434,-0.209434
397,-0.179515,-0.209434,-0.209434
398,-0.179515,-0.209434,-0.209434
399,-0.179515,-0.209434,-0.209434
400,-0.179515,-0.239354,-0.239354
401,-0.179515,-0.239354,-0.239354
402,-0.179515,-0.239354,-0.239354
403,-0.209434,-0.239354,-0.239354
404,-0.179515,-0.239354,-0.209434
405,-0.149596,-0.179515,-0.179515
406,-0.149596,-0.179515,-0.179515
407,-0.149596,-0.209434,-0.209434
408,-0.179515,-0.209434,-0.209434
409,-0.209434,-0.239354,-0.239354
410,-0.209434,-0.239354,-0.239354
411,-0.209434,-0.269273,-0.239354
412,-0.209434,-0.269273,-0.239354
413,-0.209434,-0.239354,-0.239354
414,-0.209434,-0.269273,-0.269273
415,-0.209434,-0.269273,-0.239354
416,-0.209434,-0.239354,-0.239354
417,-0.209434,-0.239354,-0.239354
418,-0.209434,-0.239354,-0.239354
419,-0.209434,-0.239354,-0.239354
420,-0.209434,-0.269273,-0.239354
421,-0.239354,-0.299192,-0.299192
422,-0.239354,-0.299192,-0.299192
423,-0.239354,-0.269273,-0.269273
424,-0.209434,-0.269273,-0.269273
425,-0.209434,-0.239354,-0.239354
426,-0.179515,-0.209434,-0.209434
427,-0.179515,-0.209434,-0.209434
428,-0.179515,-0.209434,-0.209434
429,-0.179515,-0.209434,-0.209434
430,-0.179515,-0.209434,-0.209434
431,-0.179515,-0.209434,-0.209434
432,-0.179515,-0.239354,-0.209434
433,-0.179515,-0.239354,-0.239354
434,-0.179515,-0.239354,-0.239354
435,-0.179515,-0.239354,-0.239354
436,-0.179515,-0.209434,-0.209434
437,-0.149596,-0.179515,-0.179515
438,-0.149596,-0.179515,-0.179515
439,-0.149596,-0.209434,-0.209434
440,-0.179515,-0.209434,-0.209434
441,-0.209434,-0.239354,-0.239354
442,-0.209434,-0.269273,-0.239354
443,-0.209434,-0.269273,-0.269273
444,-0.209434,-0.269273,-0.239354
445,-0.209434,-0.269273,-0.239354
446,-0.209434,-0.269273,-0.239354
447,-0.209434,-0.239354,-0.239354
448,-0.209434,-0.239354,-0.239354
449,-0.209434,-0.239354,-0.239354
450,-0.209434,-0.239354,-0.239354
451,-0.209434,-0.239354,-0.239354
452,-0.209434,-0.269273,-0.239354
453,-0.239354,-0.299192,-0.269273
454,-0.239354,-0.299192,-0.299192
455,-0.239354,-0.269273,-0.269273
456,-0.209434,-0.269273,-0.269273
457,-0.179515,-0.239354,-0.239354
458,-0.179515,-0.209434,-0.209434
459,-0.179515,-0.209434,-0.209434
460,-0.179515,-0.209434,-0.209434
461,-0.179515,-0.239354,-0.209434
462,-0.179515,-0.209434,-0.209434
463,-0.179515,-0.209434,-0.239354
464,-0.179515,-0.239354,-0.209434
465,-0.179515,-0.239354,-0.209434
466,-0.179515,-0.239354,-0.239354
467,-0.179515,-0.239354,-0.239354
468,-0.179515,-0.209434,-0.209434
469,-0.149596,-0.179515,-0.179515
