x_mm,z_mm,temperature_c
-11.538,-11.538,45.938
-8.974,-11.538,45.11
-6.41,-11.538,45.938
-3.846,-11.538,45.11
-1.282,-11.538,45.939
1.282,-11.538,45.939
3.846,-11.538,45.11
6.41,-11.538,45.939
8.974,-11.538,45.11
11.538,-11.538,45.939
14.103,-11.538,45.11
16.667,-11.538,45.939
19.231,-11.538,45.11
21.795,-11.538,45.939
24.359,-11.538,45.11
26.923,-11.538,45.939
29.487,-11.538,45.11
32.051,-11.538,45.939
34.615,-11.538,44.841
37.179,-11.538,44.238
39.744,-11.538,41.35
42.308,-11.538,39.281
44.872,-11.538,34.352
47.436,-11.538,31.718
50.0,-11.538,28.923
-50.0,-8.974,40.1
-47.436,-8.974,40.787
-44.872,-8.974,92.0
-42.308,-8.974,92.0
-39.744,-8.974,92.0
-37.179,-8.974,92.0
-34.615,-8.974,92.0
-32.051,-8.974,92.0
-29.487,-8.974,92.0
-26.923,-8.974,92.0
-24.359,-8.974,92.0
-21.795,-8.974,92.0
-19.231,-8.974,92.0
-16.667,-8.974,92.0
-14.103,-8.974,92.0
-11.538,-8.974,92.0
-8.974,-8.974,92.0
-6.41,-8.974,92.0
-3.846,-8.974,92.0
-1.282,-8.974,92.0
1.282,-8.974,92.0
3.846,-8.974,92.0
6.41,-8.974,92.0
8.974,-8.974,92.0
11.538,-8.974,92.0
14.103,-8.974,92.0
16.667,-8.974,92.0
19.231,-8.974,92.0
21.795,-8.974,92.0
24.359,-8.974,92.0
26.923,-8.974,92.0
29.487,-8.974,92.0
32.051,-8.974,92.0
34.615,-8.974,92.0
37.179,-8.974,92.0
39.744,-8.974,92.0
42.308,-8.974,92.0
44.872,-8.974,92.0
47.436,-8.974,37.111
50.0,-8.974,36.047
-50.0,-6.41,47.117
-47.436,-6.41,92.0
-44.872,-6.41,92.0
-42.308,-6.41,92.0
-39.744,-6.41,92.0
-37.179,-6.41,92.0
-34.615,-6.41,92.0
-32.051,-6.41,92.0
-29.487,-6.41,92.0
-26.923,-6.41,92.0
-24.359,-6.41,92.0
-21.795,-6.41,92.0
-19.231,-6.41,92.0
-16.667,-6.41,92.0
-14.103,-6.41,92.0
-11.538,-6.41,92.0
-8.974,-6.41,92.0
-6.41,-6.41,92.0
-3.846,-6.41,92.0
-1.282,-6.41,92.0
1.282,-6.41,92.0
3.846,-6.41,92.0
6.41,-6.41,92.0
8.974,-6.41,92.0
11.538,-6.41,92.0
14.103,-6.41,92.0
16.667,-6.41,92.0
19.231,-6.41,92.0
21.795,-6.41,92.0
24.359,-6.41,92.0
26.923,-6.41,92.0
29.487,-6.41,92.0
32.051,-6.41,92.0
34.615,-6.41,92.0
37.179,-6.41,92.0
39.744,-6.41,92.0
42.308,-6.41,92.0
44.872,-6.41,92.0
47.436,-6.41,92.0
50.0,-6.41,42.452
-50.0,-3.846,92.0
-47.436,-3.846,92.0
-44.872,-3.846,92.0
-42.308,-3.846,92.0
-39.744,-3.846,92.0
-37.179,-3.846,92.0
-34.615,-3.846,92.0
-32.051,-3.846,92.0
-29.487,-3.846,92.0
-26.923,-3.846,92.0
-24.359,-3.846,92.0
-21.795,-3.846,92.0
-19.231,-3.846,92.0
-16.667,-3.846,92.0
-14.103,-3.846,92.0
-11.538,-3.846,92.0
-8.974,-3.846,92.0
-6.41,-3.846,92.0
-3.846,-3.846,92.0
-1.282,-3.846,92.0
1.282,-3.846,92.0
3.846,-3.846,92.0
6.41,-3.846,92.0
8.974,-3.846,92.0
11.538,-3.846,92.0
14.103,-3.846,92.0
16.667,-3.846,92.0
19.231,-3.846,92.0
21.795,-3.846,92.0
24.359,-3.846,92.0
26.923,-3.846,92.0
29.487,-3.846,92.0
32.051,-3.846,92.0
34.615,-3.846,92.0
37.179,-3.846,92.0
39.744,-3.846,92.0
42.308,-3.846,92.0
44.872,-3.846,92.0
47.436,-3.846,92.0
50.0,-3.846,92.0
-50.0,-1.282,92.0
-47.436,-1.282,92.0
-44.872,-1.282,92.0
-42.308,-1.282,92.0
-39.744,-1.282,92.0
-37.179,-1.282,92.0
-34.615,-1.282,92.0
-32.051,-1.282,92.0
-29.487,-1.282,92.0
-26.923,-1.282,92.0
-24.359,-1.282,92.0
-21.795,-1.282,92.0
-19.231,-1.282,92.0
-16.667,-1.282,92.0
-14.103,-1.282,92.0
-11.538,-1.282,92.0
-8.974,-1.282,92.0
-6.41,-1.282,92.0
-3.846,-1.282,92.0
-1.282,-1.282,92.0
1.282,-1.282,92.0
3.846,-1.282,92.0
6.41,-1.282,92.0
8.974,-1.282,92.0
11.538,-1.282,92.0
14.103,-1.282,92.0
16.667,-1.282,92.0
19.231,-1.282,92.0
21.795,-1.282,92.0
24.359,-1.282,92.0
26.923,-1.282,92.0
29.487,-1.282,92.0
32.051,-1.282,92.0
34.615,-1.282,92.0
37.179,-1.282,92.0
39.744,-1.282,92.0
42.308,-1.282,92.0
44.872,-1.282,92.0
47.436,-1.282,92.0
50.0,-1.282,92.0
-50.0,1.282,92.0
-47.436,1.282,92.0
-44.872,1.282,92.0
-42.308,1.282,92.0
-39.744,1.282,92.0
-37.179,1.282,92.0
-34.615,1.282,92.0
-32.051,1.282,92.0
-29.487,1.282,92.0
-26.923,1.282,92.0
-24.359,1.282,92.0
-21.795,1.282,92.0
-19.231,1.282,92.0
-16.667,1.282,92.0
-14.103,1.282,92.0
-11.538,1.282,92.0
-8.974,1.282,92.0
-6.41,1.282,92.0
-3.846,1.282,92.0
-1.282,1.282,92.0
1.282,1.282,92.0
3.846,1.282,92.0
6.41,1.282,92.0
8.974,1.282,92.0
11.538,1.282,92.0
14.103,1.282,92.0
16.667,1.282,92.0
19.231,1.282,92.0
21.795,1.282,92.0
24.359,1.282,92.0
26.923,1.282,92.0
29.487,1.282,92.0
32.051,1.282,92.0
34.615,1.282,92.0
37.179,1.282,92.0
39.744,1.282,92.0
42.308,1.282,92.0
44.872,1.282,92.0
47.436,1.282,92.0
50.0,1.282,92.0
-50.0,3.846,92.0
-47.436,3.846,92.0
-44.872,3.846,92.0
-42.308,3.846,92.0
-39.744,3.846,92.0
-37.179,3.846,92.0
-34.615,3.846,92.0
-32.051,3.846,92.0
-29.487,3.846,92.0
-26.923,3.846,92.0
-24.359,3.846,92.0
-21.795,3.846,92.0
-19.231,3.846,92.0
-16.667,3.846,92.0
-14.103,3.846,92.0
-11.538,3.846,92.0
-8.974,3.846,92.0
-6.41,3.846,92.0
-3.846,3.846,92.0
-1.282,3.846,92.0
1.282,3.846,92.0
3.846,3.846,92.0
6.41,3.846,92.0
8.974,3.846,92.0
11.538,3.846,92.0
14.103,3.846,92.0
16.667,3.846,92.0
19.231,3.846,92.0
21.795,3.846,92.0
24.359,3.846,92.0
26.923,3.846,92.0
29.487,3.846,92.0
32.051,3.846,92.0
34.615,3.846,92.0
37.179,3.846,92.0
39.744,3.846,92.0
42.308,3.846,92.0
44.872,3.846,92.0
47.436,3.846,92.0
50.0,3.846,92.0
-50.0,6.41,47.117
-47.436,6.41,92.0
-44.872,6.41,92.0
-42.308,6.41,92.0
-39.744,6.41,92.0
-37.179,6.41,92.0
-34.615,6.41,92.0
-32.051,6.41,92.0
-29.487,6.41,92.0
-26.923,6.41,92.0
-24.359,6.41,92.0
-21.795,6.41,92.0
-19.231,6.41,92.0
-16.667,6.41,92.0
-14.103,6.41,92.0
-11.538,6.41,92.0
-8.974,6.41,92.0
-6.41,6.41,92.0
-3.846,6.41,92.0
-1.282,6.41,92.0
1.282,6.41,92.0
3.846,6.41,92.0
6.41,6.41,92.0
8.974,6.41,92.0
11.538,6.41,92.0
14.103,6.41,92.0
16.667,6.41,92.0
